agency,variable,economic_output,labor_income,job_days
All,base,1170698051.38,421318801.80,1425283
All,rate,120.19,43.34,0.1468
DOE,base,374534522.77,133947193.49,435559
DOE,rate,39.94,14.29,0.0464
DOI,base,52678800.84,21144359.05,77772
DOI,rate,5.40,2.17,0.008
DOT,base,58594417.17,19525363.35,71247
DOT,rate,6,2,0.0073
EPA,base,248513799.95,89796062.81,278838
EPA,rate,23.79,8.69,0.0271
NOAA,base,16166341.49,6506725.27,23011
NOAA,rate,1.66,0.67,0.0024
USDA,base,274506720.79,97192430.6,365525
USDA,rate,28.49,10.09,0.038
Other,base,145703448.37,53206667.24,173332
Other,rate,14.92,5.45,0.0178
