agency,variable,employment,economic_output,labor_income,job_days
All,base,4666,958588998.4,344788750.2,1166497
All,rate,0.00059,120.19,43.34,0.1468
DOE,base,1418,304930761.9,109054352.2,354614
DOE,rate,0.00019,39.94,14.29,0.0464
DOI,base,253,42888935.2,17214876.39,63319
DOI,rate,0.00003,5.4,2.17,0.008
DOT,base,232,47705189.2,15896756,58006
DOT,rate,0.00003,6,2,0.0073
EPA,base,919,205357805.2,74033577.1,229733
EPA,rate,0.00011,23.79,8.69,0.0271
NOAA,base,75,13161977.14,5297510.84,18735
NOAA,rate,0.00001,1.66,0.67,0.0024
USDA,base,1204,225918513.4,79972975.07,300970
USDA,rate,0.00015,28.49,10.09,0.038
Other,base,564,118625816.4,43318702.53,141120
Other,rate,0.00007,14.92,5.45,0.0178
